R-HSA-196807, false, R-HSA-6806966, R-HSA-6807487, https://release.reactome.org/PathwayBrowser/#/R-HSA-196807&SEL=R-HSA-6806966&FLG=R-HSA-6807487
R-HSA-202131, false, R-HSA-202137, R-HSA-202113, https://release.reactome.org/PathwayBrowser/#/R-HSA-202131&SEL=R-HSA-202137&FLG=R-HSA-202113
R-HSA-2022377, false, R-HSA-9614933, R-HSA-9614931, https://release.reactome.org/PathwayBrowser/#/R-HSA-2022377&SEL=R-HSA-9614933&FLG=R-HSA-9614931
R-HSA-2142753, false, R-HSA-266046, R-HSA-2162130, https://release.reactome.org/PathwayBrowser/#/R-HSA-2142753&SEL=R-HSA-266046&FLG=R-HSA-2162130
R-HSA-2187338, false, R-HSA-74101, R-HSA-5205901, https://release.reactome.org/PathwayBrowser/#/R-HSA-2187338&SEL=R-HSA-74101&FLG=R-HSA-5205901
R-HSA-2187338, false, R-HSA-74059, R-HSA-113578, https://release.reactome.org/PathwayBrowser/#/R-HSA-2187338&SEL=R-HSA-74059&FLG=R-HSA-113578
R-HSA-2206308, true, R-HSA-9036061, R-HSA-2262737, https://release.reactome.org/PathwayBrowser/#/R-HSA-2206308&SEL=R-HSA-9036061&FLG=R-HSA-2262737
R-HSA-2453864, true, R-HSA-74101, R-HSA-5205901, https://release.reactome.org/PathwayBrowser/#/R-HSA-2453864&SEL=R-HSA-74101&FLG=R-HSA-5205901
R-HSA-2453864, true, R-HSA-74059, R-HSA-113578, https://release.reactome.org/PathwayBrowser/#/R-HSA-2453864&SEL=R-HSA-74059&FLG=R-HSA-113578
R-HSA-3229133, true, R-HSA-3229118, R-HSA-3229129, https://release.reactome.org/PathwayBrowser/#/R-HSA-3229133&SEL=R-HSA-3229118&FLG=R-HSA-3229129
R-HSA-3229133, true, R-HSA-70420, R-HSA-450097, https://release.reactome.org/PathwayBrowser/#/R-HSA-3229133&SEL=R-HSA-70420&FLG=R-HSA-450097
